Name;InternalName;Title;Class;ImageURL;AttackRange;MoveSpeed;HP;HPperLevel;hpregen;hpregenperlevel;Armor;ArmorperLevel;AttackDamage;AttackDamageperLevel;attackspeed;attackspeedperlevel;Spellblock;spellblockperlevel;Prv_attack;Prv_defense;Prv_magic;Lore;Image_Full;Image_Loading;Image_Sprite;Spell_Q_Name;Spell_Q_Desc;Spell_Q_Icon;Spell_W_Name;Spell_W_Desc;Spell_W_Icon;Spell_E_Name;Spell_E_Desc;Spell_E_Icon;Spell_R_Name;Spell_R_Desc;Spell_R_Icon;Passive_Name;Passive_Desc;Passive_Icon
Aatrox;Aatrox;the Darkin Blade;Fighter;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Aatrox.png;175;345;650;114;3.0;0.5;38;4.8;60;5.0;0.651;2.5;32;2.05;8;4;3;Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find freedom once more, corrupting and transforming those foolish enough to try and wield the magical weapon that contained his essence. Now, with stolen flesh, he walks Runeterra in a brutal approximation of his previous form, seeking an apocalyptic and long overdue vengeance.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_0.jpg;champion0.png;The Darkin Blade;Aatrox slams his greatsword down, dealing physical damage. He can swing three times, each with a different area of effect.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AatroxQ.png;Infernal Chains;Aatrox smashes the ground, dealing damage to the first enemy hit. Champions and large monsters have to leave the impact area quickly or they will be dragged to the center and take the damage again.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AatroxW.png;Umbral Dash;Passively, Aatrox heals when damaging enemy champions. On activation, he dashes in a direction.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AatroxE.png;World Ender;Aatrox unleashes his demonic form, fearing nearby enemy minions and gaining attack damage, increased healing, and Move Speed. If he gets a takedown, this effect is extended.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AatroxR.png;Deathbringer Stance;Periodically, Aatrox's next basic attack deals bonus <magicDamage>magic damage</magicDamage> and heals him, based on the target's max health. ;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Aatrox_Passive.png
Ahri;Ahri;the Nine-Tailed Fox;Mage;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Ahri.png;550;330;590;104;2.5;0.6;21;4.2;53;3.0;0.668;2.2;30;1.3;3;4;8;Innately connected to the magic of the spirit realm, Ahri is a fox-like vastaya who can manipulate her prey's emotions and consume their essence—receiving flashes of their memory and insight from each soul she consumes. Once a powerful yet wayward predator, Ahri is now traveling the world in search of remnants of her ancestors while also trying to replace her stolen memories with ones of her own making.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ahri_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_0.jpg;champion0.png;Orb of Deception;Ahri sends out and pulls back her orb, dealing magic damage on the way out and true damage on the way back. ;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AhriQ.png;Fox-Fire;Ahri gains a brief burst of Move Speed and releases three fox-fires, that lock onto and attack nearby enemies.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AhriW.png;Charm;Ahri blows a kiss that damages and charms an enemy it encounters, instantly stopping movement abilities and causing them to walk harmlessly towards her.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AhriE.png;Spirit Rush;Ahri dashes forward and fires essence bolts, damaging nearby enemies. Spirit Rush can be cast up to three times before going on cooldown, and gains additional recasts when taking down enemy champions.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AhriR.png;Essence Theft;After killing 9 minions or monsters, Ahri heals.<br>After taking down an enemy champion, Ahri heals for a greater amount.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Ahri_SoulEater2.png
Akali;Akali;the Rogue Assassin;Assassin;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Akali.png;125;345;600;119;9.0;0.9;23;4.7;62;3.3;0.625;3.2;37;2.05;5;3;8;Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one kill at a time. Akali may strike in silence, but her message will be heard loud and clear: fear the assassin with no master.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akali_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_0.jpg;champion0.png;Five Point Strike;Akali throws out five kunai, dealing damage based on her bonus Attack Damage and Ability Power and slowing.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AkaliQ.png;Twilight Shroud;Akali drops a cover of smoke and briefly gains Move Speed. While inside the shroud, Akali becomes invisible and unable to be selected by enemy spells and attacks. Attacking or using abilities will briefly reveal her.  ;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AkaliW.png;Shuriken Flip;Flip backward and fire a shuriken forward, dealing magic damage. The first enemy or smoke cloud hit is marked. Re-cast to dash to the marked target, dealing additional damage.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AkaliE.png;Perfect Execution;Akali leaps in a direction, damaging enemies she strikes. Re-cast: Akali dashes in a direction, executing all enemies she strikes.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AkaliR.png;Assassin's Mark;Dealing spell damage to a champion creates a ring of energy around them. Exiting that ring empowers Akali's next Attack with bonus range and damage.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Akali_P.png
Akshan;Akshan;the Rogue Sentinel;Marksman;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Akshan.png;500;330;610;107;3.75;0.65;26;4.7;52;3.0;0.638;4.0;30;1.3;0;0;0;Raising an eyebrow in the face of danger, Akshan fights evil with dashing charisma, righteous vengeance, and a conspicuous lack of shirts. He is highly skilled in the art of stealth combat, able to evade the eyes of his enemies and reappear when they least expect him. With a keen sense of justice and a legendary death-reversing weapon, he rights the wrongs of Runeterra's many scoundrels while living by his own moral code: “Don't be an ass.”;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akshan_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akshan_0.jpg;champion0.png;Avengerang;Akshan throws a boomerang that deals damage going out and coming back, extending its range each time it hits an enemy.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AkshanQ.png;Going Rogue;Akshan passively marks enemy champions as Scoundrels when they kill his ally champions. If Akshan kills a Scoundrel, he resurrects the allies they killed, gains bonus gold, and clears all marks.<br><br>When activated, Akshan enters camouflage and gains Move Speed and Mana Regen while moving towards Scoundrels. Akshan loses the camouflage quickly while he is not in brush or near terrain.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AkshanW.png;Heroic Swing;Akshan fires a grappling hook into terrain then swings around it, repeatedly firing at the nearest enemy while swinging. He can jump off early or gets knocked off when colliding with champions or terrain.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AkshanE.png;Comeuppance;Akshan locks onto an enemy champion and starts storing bullets. When released, he fires all stored bullets, dealing damage based on missing health to the first champion, minion, or structure hit.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AkshanR.png;Dirty Fighting;Every three hits from Akshan's Attacks and Abilities deals bonus damage and grants him a Shield if the target was a champion.<br><br>When Akshan Attacks, he fires an additional Attack for reduced damage. If he cancels the additional Attack, he instead gains Move Speed.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/akshan_p.png
Alistar;Alistar;the Minotaur;Tank;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Alistar.png;125;330;685;120;8.5;0.85;40;4.7;62;3.75;0.625;2.125;32;2.05;6;9;5;Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly becoming a beast. Now, free of the chains of his former masters, he fights in the name of the downtrodden and the disadvantaged, his rage as much a weapon as his horns, hooves and fists.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Alistar_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Alistar_0.jpg;champion0.png;Pulverize;Alistar smashes the ground, dealing damage to nearby enemies and tossing them into the air.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/Pulverize.png;Headbutt;Alistar rams a target with his head, dealing damage and knocking the target back.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/Headbutt.png;Trample;Alistar tramples nearby enemy units, ignoring unit collision and gaining stacks if he damages an enemy champion. At full stacks Alistar's next basic attack against an enemy champion deals additional magic damage and stuns them.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AlistarE.png;Unbreakable Will;Alistar lets out a wild roar, removing all crowd control effects on himself, and reducing incoming physical and magical damage for the duration.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/FerociousHowl.png;Triumphant Roar;Alistar charges his roar by stunning or displacing enemy champions or when nearby enemies die. When fully charged he heals himself all nearby allied champions.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Alistar_E.png
Ambessa;Ambessa;Matriarch of War;Fighter;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Ambessa.png;125;335;630;110;8.5;0.75;35;4.9;63;3.0;0.625;2.5;32;2.05;9;2;0;All who know the name Medarda respect and fear the family's leader, Ambessa. As a Noxian general, she embodies a deadly combination of ruthless strength and fearless resolve in battle. Her role as matriarch is no different, requiring great cunning to empower the Medardas while leaving no room for failure or compassion. Embracing the merciless ways of the Wolf, Ambessa will do whatever it takes to protect her family's legacy, even at the cost of her own children's love.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ambessa_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ambessa_0.jpg;champion0.png;Cunning Sweep / Sundering Slam;Ambessa sweeps her twin drakehounds in a semicircle in front of her, dealing bonus damage to enemies hit by the blades. Striking an enemy will transform the next cast of this ability for a short period of time, causing her to slam her twin drakehounds down in a line in front of her, dealing bonus damage to the first enemy hit.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AmbessaQ.png;Repudiation;Ambessa gains a shield, briefly braces herself, and then slams the ground to damage nearby enemies. If she blocked any non-minion damage while bracing herself, this ability will deal increased damage.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AmbessaW.png;Lacerate;Ambessa whips her twin drakehounds around herself, damaging and slowing nearby enemies. Initiating Drakehound's Step from this ability causes her to strike a second time at the end of its dash.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AmbessaE.png;Public Execution;Ambessa blinks to the farthest enemy champion in a line of her choosing and suppresses them upon her arrival. She then slams the enemy into the ground where they take damage and are stunned.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AmbessaR.png;Drakehound's Step;Entering an attack or movement command while casting an ability will cause Ambessa to dash a short distance once the ability is cast, granting her next attack bonus range, damage, and attack speed, and refunding energy.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Icon_Ambessa_Passive.Domina.png
Amumu;Amumu;the Sad Mummy;Tank;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Amumu.png;125;335;685;94;9.0;0.85;33;4.0;57;3.8;0.736;2.18;32;2.05;2;6;8;Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe a living cadaver, small in stature and wrapped in creeping bandages. Amumu has inspired myths, songs, and folklore told and retold for generations—such that it is impossible to separate truth from fiction.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Amumu_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Amumu_0.jpg;champion0.png;Bandage Toss;Amumu tosses a sticky bandage at a target, stunning and damaging the target while he pulls himself to them.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/BandageToss.png;Despair;Overcome by anguish, nearby enemies lose a percentage of their maximum Health each second and have their <font color='#9b0f5f'>Curses</font> refreshed.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AuraofDespair.png;Tantrum;Permanently reduces the physical damage Amumu would take. Amumu can unleash his rage, dealing damage to surrounding enemies. Each time Amumu is hit, the cooldown on Tantrum is reduced.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/Tantrum.png;Curse of the Sad Mummy;Amumu entangles surrounding enemy units in bandages, applying his <keywordMajor>Curse</keywordMajor>, damaging and stunning them.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/CurseoftheSadMummy.png;Cursed Touch;Amumu's basic attacks <font color='#9b0f5f'>Curse</font> his enemies, causing them to take bonus true damage from incoming magic damage.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Amumu_Passive.png
Anivia;Anivia;the Cryophoenix;Mage;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Anivia.png;600;325;550;92;5.5;0.55;21;4.5;51;3.2;0.658;1.68;30;1.3;1;4;10;Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland. Anivia guides and protects the tribes of the harsh north, who revere her as a symbol of hope, and a portent of great change. She fights with every ounce of her being, knowing that through her sacrifice, her memory will endure, and she will be reborn into a new tomorrow.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Anivia_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Anivia_0.jpg;champion0.png;Flash Frost;Anivia brings her wings together and summons a sphere of ice that flies towards her opponents, chilling and damaging anyone in its path. When the sphere explodes it does moderate damage in a radius, stunning anyone in the area.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/FlashFrost.png;Crystallize;Anivia condenses the moisture in the air into an impassable wall of ice to block all movement. The wall only lasts a short duration before it melts.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/Crystallize.png;Frostbite;With a flap of her wings, Anivia blasts a freezing gust of wind at her target, dealing damage. If the target was recently hit by Flash Frost or damaged by a fully formed Glacial Storm, the damage they take is doubled.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/Frostbite.png;Glacial Storm;Anivia summons a driving rain of ice and hail to damage her enemies and slow their advance.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/GlacialStorm.png;Rebirth;Upon taking fatal damage, Anivia reverts to an egg and is reborn with full health.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Anivia_P.png
Annie;Annie;the Dark Child;Mage;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Annie.png;625;335;560;96;5.5;0.55;23;4.0;50;2.65;0.61;1.36;30;1.3;2;3;10;Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable, emotional outbursts, though she eventually learned to control these “playful tricks.” Her favorite includes the summoning of her beloved teddy bear, Tibbers, as a fiery protector. Lost in the perpetual innocence of childhood, Annie wanders the dark forests, always looking for someone to play with.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Annie_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Annie_0.jpg;champion0.png;Disintegrate;Annie hurls a Mana infused fireball, dealing damage and refunding the Mana cost if it destroys the target.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AnnieQ.png;Incinerate;Annie casts a blazing cone of fire, dealing damage to all enemies in the area.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AnnieW.png;Molten Shield;Grants Annie or an ally a shield, a burst of Move Speed, and damages enemies who strike her with attacks or spells.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AnnieE.png;Summon: Tibbers;Annie wills her bear Tibbers to life, dealing damage to units in the area. Tibbers can attack and also burns enemies that stand near him.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/AnnieR.png;Pyromania;After casting 4 spells, Annie's next offensive spell will stun the target.<br><br>Annie begins the game and respawns with Pyromania available.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/Annie_Passive.png
Aphelios;Aphelios;the Weapon of the Faithful;Marksman;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/champion/Aphelios.png;550;325;600;102;3.25;0.55;26;4.2;55;2.3;0.665;2.1;30;1.3;6;2;1;Emerging from moonlight's shadow with weapons drawn, Aphelios kills the enemies of his faith in brooding silence—speaking only through the certainty of his aim, and the firing of each gun. Though fueled by a poison that renders him mute, he is guided by his sister Alune. From her distant temple sanctuary, she pushes an arsenal of moonstone weapons into his hands. For as long as the moon shines overhead, Aphelios will never be alone.;https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aphelios_0.jpg;https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aphelios_0.jpg;champion0.png;Weapon Abilites;Aphelios has 5 different activated abilities, based on his main-hand weapon:<br><br>Calibrum (Rifle): Long range shot that marks its target for a long-range follow-up attack.<br>Severum (Scythe Pistol): Run fast while attacking nearby enemies with both weapons.<br>Gravitum (Cannon): Root all enemies slowed by this weapon.<br>Infernum (Flamethrower): Blast enemies in a cone and attack them with your off-hand weapon.<br>Crescendum (Chakram): Deploy a sentry that shoots your off-hand weapon.<br>;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/ApheliosQ_ClientTooltipWrapper.png;Phase;Aphelios swaps his main-hand gun with his off-hand gun, replacing his basic attack and activated ability.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/ApheliosW.png;Weapon Queue System;Aphelios has no third ability. This slot shows the next weapon Alune will give him. Weapon order begins fixed but may change over game time -- when a weapon is out of ammo it goes to the end of the order.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/ApheliosE_ClientTooltipWrapper.png;Moonlight Vigil;Fire a concentrated blast of moonlight that explodes on enemy champions. Applies the unique effect of Aphelios' main-hand gun.;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/spell/ApheliosR.png;The Hitman and the Seer;Aphelios wields 5 Lunari Weapons made by his sister Alune. He has access to two at a time: one main-hand and one off-hand. Each weapon has a unique Basic Attack and Ability. Attacks and abilities consume a weapon's ammo. When out of ammo, Aphelios discards the weapon and Alune summons the next of the 5. ;https://ddragon.leagueoflegends.com/cdn/16.1.1/img/passive/ApheliosP.png
